,individualcount,eventdate_datetime
463,1.0,2021-05-08 00:00:00+00:00
464,1.0,2021-06-19 00:00:00+00:00
465,0.0,2021-01-04 00:00:00+00:00
466,0.0,2022-01-28 16:46:00+00:00
467,3.0,2021-08-28 00:00:00+00:00
468,3.0,2021-10-08 00:00:00+00:00
469,1.0,2021-10-24 00:00:00+00:00
470,3.0,2021-05-06 00:00:00+00:00
471,2.0,2021-05-05 00:00:00+00:00
472,24.0,2021-03-20 00:00:00+00:00
473,6.0,2021-10-30 00:00:00+00:00
474,16.0,2021-01-28 00:00:00+00:00
475,2.0,2021-04-15 00:00:00+00:00
476,16.0,2021-11-19 00:00:00+00:00
477,2.0,2022-01-09 00:00:00+00:00
478,0.0,2021-12-23 11:51:00+00:00
479,1.0,2022-05-04 00:58:41+00:00
480,2.0,2021-05-30 00:00:00+00:00
481,3.0,2021-05-11 00:00:00+00:00
482,30.0,2021-05-16 00:00:00+00:00
483,0.0,2021-06-25 00:00:00+00:00
484,8.0,2021-03-26 00:00:00+00:00
485,1.0,2021-07-24 00:00:00+00:00
486,1.0,2022-11-20 00:00:00+00:00
487,0.0,2023-01-22 16:12:00+00:00
488,17.0,2021-04-03 00:00:00+00:00
489,50.0,2021-09-04 00:00:00+00:00
490,6.0,2021-04-12 00:00:00+00:00
491,2.0,2021-05-11 00:00:00+00:00
492,50.0,2021-03-14 00:00:00+00:00
493,16.0,2021-03-31 00:00:00+00:00
494,4.0,2021-10-03 00:00:00+00:00
495,2.0,2022-05-16 00:00:00+00:00
496,200.0,2021-02-28 00:00:00+00:00
497,2.0,2021-01-24 00:00:00+00:00
498,20.0,2021-09-04 00:00:00+00:00
499,2.0,2021-04-11 00:00:00+00:00
500,6.0,2021-04-15 00:00:00+00:00
501,2.0,2022-01-01 00:00:00+00:00
502,6.0,2021-02-28 00:00:00+00:00
503,3.0,2021-10-08 00:00:00+00:00
504,2.0,2021-04-19 00:00:00+00:00
505,30.0,2021-01-10 00:00:00+00:00
506,1.0,2021-02-13 00:00:00+00:00
507,0.0,2022-05-07 08:50:30+00:00
508,1.0,2021-06-08 18:11:32+00:00
509,6.0,2021-05-06 00:00:00+00:00
510,3.0,2021-06-12 00:00:00+00:00
511,8.0,2021-09-13 00:00:00+00:00
512,0.0,2021-01-31 00:00:00+00:00
513,5.0,2021-03-14 00:00:00+00:00
514,2.0,2021-02-09 00:00:00+00:00
515,2.0,2021-05-22 00:00:00+00:00
516,30.0,2021-05-20 00:00:00+00:00
517,3.0,2021-06-16 00:00:00+00:00
518,55.0,2021-01-12 00:00:00+00:00
519,1.0,2021-05-16 00:00:00+00:00
520,50.0,2021-06-11 00:00:00+00:00
521,4.0,2021-05-13 00:00:00+00:00
522,30.0,2021-09-17 00:00:00+00:00
523,5.0,2021-12-27 00:00:00+00:00
524,23.0,2021-08-09 00:00:00+00:00
525,18.0,2021-07-14 00:00:00+00:00
526,20.0,2021-05-26 00:00:00+00:00
527,2.0,2021-11-12 00:00:00+00:00
528,38.0,2021-01-17 00:00:00+00:00
529,87.0,2021-01-10 00:00:00+00:00
530,7.0,2022-07-02 00:00:00+00:00
531,8.0,2021-10-18 00:00:00+00:00
532,2.0,2022-08-26 00:00:00+00:00
533,15.0,2021-01-18 00:00:00+00:00
534,100.0,2021-02-13 00:00:00+00:00
535,4.0,2021-04-24 00:00:00+00:00
536,90.0,2021-10-29 00:00:00+00:00
537,1.0,2021-05-14 00:00:00+00:00
538,5.0,2021-07-18 00:00:00+00:00
539,9.0,2021-08-26 00:00:00+00:00
540,10.0,2021-09-13 00:00:00+00:00
541,25.0,2021-10-08 00:00:00+00:00
542,12.0,2021-12-25 00:00:00+00:00
543,4.0,2021-04-30 00:00:00+00:00
544,6.0,2022-03-16 00:00:00+00:00
545,1.0,2021-02-25 00:42:28+00:00
546,6.0,2021-05-15 00:00:00+00:00
547,21.0,2021-10-09 00:00:00+00:00
548,4.0,2021-12-24 00:00:00+00:00
549,6.0,2021-09-08 00:00:00+00:00
550,6.0,2021-09-29 00:00:00+00:00
551,0.0,2021-07-22 00:00:00+00:00
552,10.0,2021-06-25 00:00:00+00:00
553,48.0,2021-01-09 00:00:00+00:00
554,10.0,2021-03-09 00:00:00+00:00
555,4.0,2021-01-09 00:00:00+00:00
556,2.0,2021-05-01 00:00:00+00:00
557,3.0,2021-05-13 00:00:00+00:00
558,30.0,2022-06-28 00:00:00+00:00
559,28.0,2021-11-09 00:00:00+00:00
560,0.0,2021-04-21 00:00:00+00:00
561,13.0,2021-12-08 00:00:00+00:00
562,10.0,2021-01-04 00:00:00+00:00
563,1.0,2021-09-22 00:00:00+00:00
564,9.0,2021-08-27 00:00:00+00:00
565,0.0,2021-07-05 00:00:00+00:00
566,5.0,2021-03-26 00:00:00+00:00
567,4.0,2021-05-07 00:00:00+00:00
568,105.0,2021-11-01 00:00:00+00:00
569,7.0,2022-02-01 00:00:00+00:00
570,27.0,2021-09-11 00:00:00+00:00
571,9.0,2021-03-05 00:00:00+00:00
572,3.0,2021-01-02 00:00:00+00:00
573,0.0,2022-10-30 16:29:34+00:00
574,9.0,2021-04-04 00:00:00+00:00
575,5.0,2021-02-20 00:00:00+00:00
576,6.0,2021-01-24 00:00:00+00:00
577,27.0,2021-02-26 00:00:00+00:00
578,4.0,2021-01-11 00:00:00+00:00
579,1.0,2021-02-06 00:00:00+00:00
580,1.0,2023-01-26 00:00:00+00:00
581,1.0,2021-10-03 00:00:00+00:00
582,2.0,2021-03-25 00:00:00+00:00
