,basisofrecord,class,countrycode,day,decimallatitude,decimallongitude,eventdate,family,gbifid,genus,individualcount,issue,kingdom,month,occurrencestatus,order,phylum,species,year
1697142,HUMAN_OBSERVATION,Aves,US,16.0,41.4628,-82.1961,2021-05-16 00:00:00 UTC,Anatidae,3620831772,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4194966,HUMAN_OBSERVATION,Aves,US,30.0,40.706505,-111.92244,2021-05-30 00:00:00 UTC,Anatidae,3603519900,Anas,34.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4152752,HUMAN_OBSERVATION,Aves,NL,13.0,51.5,4.6,2021-09-13 00:00:00 UTC,Anatidae,3723428571,Anas,1.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
5524837,HUMAN_OBSERVATION,Aves,RU,4.0,45.01188,38.18605,2023-03-04 00:00:00 UTC,Anatidae,4052846468,Anas,2020.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2023
4591716,HUMAN_OBSERVATION,Aves,US,9.0,48.31199,-116.37147,2021-07-09 00:00:00 UTC,Anatidae,3561765930,Anas,3.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
296676,HUMAN_OBSERVATION,Aves,US,31.0,40.79609,-73.955894,2021-08-31 00:00:00 UTC,Anatidae,3623423354,Anas,25.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,8.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6265605,HUMAN_OBSERVATION,Aves,NO,7.0,63.646794,10.831715,2021-02-07 00:00:00 UTC,Anatidae,3037231519,Anas,50.0,COORDINATE_ROUNDED,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7072018,HUMAN_OBSERVATION,Aves,US,17.0,39.599903,-105.13568,2021-02-17 00:00:00 UTC,Anatidae,3511320209,Anas,15.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7835234,HUMAN_OBSERVATION,Aves,US,23.0,32.71979,-96.72034,2021-02-23 00:00:00 UTC,Anatidae,3517269289,Anas,4.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7706943,HUMAN_OBSERVATION,Aves,IT,8.0,41.901477,12.466859,2022-05-08 00:00:00 UTC,Anatidae,3995852241,Anas,1.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
5693078,HUMAN_OBSERVATION,Aves,US,2.0,42.371,-71.146,2021-05-02 00:00:00 UTC,Anatidae,3555011806,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4699746,HUMAN_OBSERVATION,Aves,US,13.0,40.57286,-105.02788,2021-10-13 00:00:00 UTC,Anatidae,3557541365,Anas,50.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,10.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3885072,HUMAN_OBSERVATION,Aves,US,24.0,40.194923,-105.08861,2021-03-24 00:00:00 UTC,Anatidae,3550564981,Anas,100.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
5242201,HUMAN_OBSERVATION,Aves,US,21.0,39.09339,-76.11173,2021-11-21 00:00:00 UTC,Anatidae,3694769130,Anas,26.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
1648075,HUMAN_OBSERVATION,Aves,ES,1.0,41.48861,-4.652624,2021-03-01 00:00:00 UTC,Anatidae,3517945977,Anas,,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6110007,HUMAN_OBSERVATION,Aves,ES,18.0,36.676115,-4.45756,2022-11-18 00:00:00 UTC,Anatidae,3995830157,Anas,20.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
8860017,HUMAN_OBSERVATION,Aves,US,17.0,41.261986,-72.554825,2021-10-17 00:00:00 UTC,Anatidae,3683011937,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,10.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7086884,HUMAN_OBSERVATION,Aves,US,31.0,42.52874,-83.45161,2021-07-31 00:00:00 UTC,Anatidae,3662662766,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4870708,HUMAN_OBSERVATION,Aves,US,14.0,39.236084,-120.02601,2021-03-14 00:00:00 UTC,Anatidae,3518232214,Anas,25.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7302134,HUMAN_OBSERVATION,Aves,CA,14.0,52.13638,-106.57831,2021-04-14 00:00:00 UTC,Anatidae,3569570644,Anas,22.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6572136,HUMAN_OBSERVATION,Aves,US,16.0,33.78187,-84.44207,2021-07-16 00:00:00 UTC,Anatidae,3679083318,Anas,4.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6309415,HUMAN_OBSERVATION,Aves,US,15.0,39.071377,-77.10527,2021-05-15 00:00:00 UTC,Anatidae,3659928245,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
1790559,HUMAN_OBSERVATION,Aves,US,9.0,42.7844,-73.68496,2021-09-09 00:00:00 UTC,Anatidae,3635542307,Anas,38.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4728530,HUMAN_OBSERVATION,Aves,CA,21.0,48.43002,-123.45759,2021-09-21 00:00:00 UTC,Anatidae,3640717340,Anas,15.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
8211860,HUMAN_OBSERVATION,Aves,US,4.0,44.303745,-72.00577,2021-05-04 00:00:00 UTC,Anatidae,3638696706,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7767149,HUMAN_OBSERVATION,Aves,US,4.0,45.051212,-93.095566,2021-10-04 00:00:00 UTC,Anatidae,3689835208,Anas,10.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,10.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
